Updated policy parameters
New policy params 0.5 0.5 4
GOING TO START
Robot is at start position
Robot at start position

POSITIONING THE ROBOT
FINISHED POSITIONING THE ROBOT

TOUCH DOWN
2.73531
FINISHED TOUCH DOWN

CUTTING
scaling_factor 0.105263
gaussian_mu 1.67976
gaussian_sigma_square 0.705396
platform height -0.08
Current pose -0.0355221
Z dist 0.0444779
2.88305 3.67099 2.70517 3.67099 2.70517
2.87362 3.43685 2.64013 3.43685 2.64013
2.86485 3.42714 3.39726 3.42714 3.39726
2.85566 3.49413 3.8325 3.49413 3.8325
2.8456 3.5964 3.51614 3.5964 3.51614
2.83178 3.59448 5.27725 3.59448 5.27725
2.81448 3.67043 2.62092 3.67043 2.62092
2.79857 3.85625 2.84348 3.85625 2.84348
2.78093 3.38341 4.28119 3.38341 4.28119
2.76632 3.85481 2.6601 3.85481 2.6601
2.75525 3.68533 3.70514 3.68533 3.70514
2.73754 2.96906 3.17747 2.96906 3.17747
2.71987 3.83049 3.84053 3.83049 3.84053
2.70086 3.74509 2.05853 3.74509 2.05853
2.67716 3.53652 2.8841 3.53652 2.8841
2.65941 3.8435 1.95681 3.8435 1.95681
2.64599 3.44408 1.69874 3.44408 1.69874
2.62943 3.56652 2.83121 3.56652 2.83121
2.61454 3.8363 3.8162 3.8363 3.8162
2.60189 4.04653 3.58744 4.04653 3.58744
2.58257 3.93831 3.27386 3.93831 3.27386
2.56347 3.9906 2.718 3.9906 2.718
2.54642 4.09618 3.1454 4.09618 3.1454
2.52995 4.0024 1.40799 4.0024 1.40799
2.51258 3.97213 3.53787 3.97213 3.53787
2.49923 4.14914 4.39588 4.14914 4.39588
2.48836 4.24994 2.86355 4.24994 2.86355
2.46774 4.48402 3.67984 4.48402 3.67984
2.44993 4.62519 2.20614 4.62519 2.20614
2.43185 4.6018 1.36507 4.6018 1.36507
2.41365 4.47555 2.24906 4.47555 2.24906
2.40182 4.33375 2.84343 4.33375 2.84343
2.38987 4.36651 1.89407 4.36651 1.89407
2.3723 4.34352 2.33897 4.34352 2.33897
2.35987 4.79933 0.551662 4.79933 0.551662
2.34799 4.92735 5.98368 4.92735 5.98368
2.33521 4.83868 2.70674 4.83868 2.70674
2.32507 4.80364 2.94227 4.80364 2.94227
2.30923 4.2646 1.21945 4.2646 1.21945
2.30371 4.66933 1.52112 4.66933 1.52112
2.29973 4.90879 2.80176 4.90879 2.80176
2.2864 4.36763 2.52781 4.36763 2.52781
2.27572 4.87282 2.38921 4.87282 2.38921
2.26753 4.5708 4.38996 4.5708 4.38996
2.26122 4.7894 0.679606 4.7894 0.679606
2.25302 4.92073 3.69864 4.92073 3.69864
2.24314 4.41024 2.83807 4.41024 2.83807
2.23964 5.03579 2.68857 5.03579 2.68857
2.22792 4.2761 3.48737 4.2761 3.48737
2.21769 4.46471 2.50428 4.46471 2.50428
2.21436 4.80373 3.17287 4.80373 3.17287
2.1981 4.32703 2.8056 4.32703 2.8056
2.19035 4.83196 3.53495 4.83196 3.53495
2.1827 4.58086 2.3581 4.58086 2.3581
2.16666 4.25061 1.42385 4.25061 1.42385
2.15621 4.90773 3.88027 4.90773 3.88027
2.14545 4.31538 2.28832 4.31538 2.28832
2.1278 4.72551 3.03445 4.72551 3.03445
2.11486 4.45217 2.42651 4.45217 2.42651
2.10183 4.59644 1.83668 4.59644 1.83668
2.09221 4.80462 1.55041 4.80462 1.55041
2.08077 4.56002 2.15768 4.56002 2.15768
2.07368 5.02195 2.66172 5.02195 2.66172
2.06523 4.74461 1.56826 4.74461 1.56826
2.05118 4.73816 1.14725 4.73816 1.14725
2.03959 5.10137 1.08374 5.10137 1.08374
2.03753 4.93655 3.71568 4.93655 3.71568
2.0311 4.85505 2.1147 4.85505 2.1147
2.02202 4.66579 4.32834 4.66579 4.32834
2.0119 4.48876 1.04575 4.48876 1.04575
2.00076 4.7317 1.76541 4.7317 1.76541
1.99085 4.74258 0.524611 4.74258 0.524611
1.97897 4.37134 2.37839 4.37134 2.37839
1.97571 4.67528 3.88576 4.67528 3.88576
1.96851 4.35938 1.73394 4.35938 1.73394
1.95696 4.69748 0.11143 4.69748 0.11143
1.94648 4.53987 1.60106 4.53987 1.60106
1.94222 4.9413 2.03604 4.9413 2.03604
1.93334 4.66613 1.47117 4.66613 1.47117
1.92211 4.39979 1.26452 4.39979 1.26452
1.92393 -0.169587 -0.169587 4.64619 0
1.9196 4.60439 3.37514 4.60439 3.37514
1.92016 -0.0419977 -0.0419977 5.02061 0
1.91142 4.36534 1.62828 4.36534 1.62828
1.90277 4.5637 1.73883 4.5637 1.73883
1.90636 4.75423 2.92276 4.75423 2.92276
1.89983 4.39535 3.3469 4.39535 3.3469
1.89621 4.18288 4.17226 4.18288 4.17226
1.88817 4.30775 1.57529 4.30775 1.57529
1.87943 4.31037 3.4334 4.31037 3.4334
1.8685 4.21929 2.1777 4.21929 2.1777
1.86083 4.61933 1.43602 4.61933 1.43602
1.84993 4.29314 2.03578 4.29314 2.03578
1.84387 4.2339 0.460171 4.2339 0.460171
1.8387 4.78124 0.835125 4.78124 0.835125
1.82995 4.30796 1.6933 4.30796 1.6933
1.82573 4.59499 2.71175 4.59499 2.71175
1.81892 4.51235 0.697901 4.51235 0.697901
1.80662 4.26307 1.30603 4.26307 1.30603
1.79831 4.61136 1.53691 4.61136 1.53691
1.80157 4.91124 2.15609 4.91124 2.15609
1.79726 4.13536 2.83587 4.13536 2.83587
1.78966 -0.505861 -0.505861 4.14323 0
1.78595 4.32698 0.789607 4.32698 0.789607
1.77514 3.9267 2.74228 3.9267 2.74228
1.7713 4.57277 1.27862 4.57277 1.27862
1.76279 4.00679 2.79385 4.00679 2.79385
1.75523 3.74357 1.85733 3.74357 1.85733
1.74943 4.1729 0.833234 4.1729 0.833234
1.7409 4.01997 3.36593 4.01997 3.36593
1.73008 3.9206 1.26646 3.9206 1.26646
1.72033 4.36993 2.78076 4.36993 2.78076
1.71465 4.28278 0.925807 4.28278 0.925807
1.71204 4.08699 2.21687 4.08699 2.21687
1.7079 4.47387 3.17861 4.47387 3.17861
