Updated policy parameters
New policy params 0.5 0.5 4
[ INFO] [1570714289.981215682]: Starting cutting rollout
GOING TO START
Robot is at start position
Robot at start position

POSITIONING THE ROBOT
FINISHED POSITIONING THE ROBOT

[ INFO] [1570714293.521221844]: New start pose Recorded
TOUCH DOWN
2.51588
FINISHED TOUCH DOWN

CUTTING
[ INFO] [1570714297.441707282]: Gaussian velocity parameters calculated
platform height -0.08
Current pose -0.0348015
Z dist 0.0451985
2.22388 1.37367 2.02099 1.37367 0.320989
2.22259 1.59616 2.59139 1.59616 0.891385
2.21876 1.31601 1.92866 1.31601 0.228655
2.21711 1.43768 2.40012 1.43768 0.700117
2.21669 1.40216 1.66493 1.40216 -0.0350691
2.2145 1.43023 2.94728 1.43023 1.24728
2.21393 1.49506 2.1147 1.49506 0.414696
2.20958 1.22823 1.94387 1.22823 0.243868
2.20493 1.3279 2.64387 1.3279 0.943872
2.20221 1.38482 3.26789 1.38482 1.56789
2.19968 1.38909 3.48208 1.38909 1.78208
2.19425 1.2683 1.90606 1.2683 0.206065
2.19001 1.40719 2.49796 1.40719 0.797957
2.18885 1.42945 1.57414 1.42945 -0.125858
2.18753 1.58402 2.12447 1.58402 0.424474
2.187 1.55167 2.07047 1.55167 0.370471
2.18686 1.47333 1.8629 1.47333 0.162904
2.18639 1.64118 2.05152 1.64118 0.351522
2.18398 1.45314 2.14197 1.45314 0.441967
2.18342 1.51364 2.12784 1.51364 0.427836
2.18177 1.37527 2.06497 1.37527 0.364965
2.1806 1.4508 2.33863 1.4508 0.638633
2.17962 1.41765 2.9796 1.41765 1.2796
FINISHED CUTTING

[ INFO] [1570714300.821220906]: Starting cutting rollout
GOING UP
0.0143838 -0.0556162
FINISHED GOING UP

GOING TO START
Robot is at start position
Robot at start position

POSITIONING THE ROBOT
FINISHED POSITIONING THE ROBOT

TOUCH DOWN
2.57242
FINISHED TOUCH DOWN

CUTTING
[ INFO] [1570714315.761829160]: Gaussian velocity parameters calculated
platform height -0.08
Current pose -0.0361851
Z dist 0.0438149
4.00346 0.923506 4.52455 0.923506 2.82455
4.00355 0.931508 4.41751 0.931508 2.71751
3.99766 0.905646 4.04673 0.905646 2.34673
3.99234 0.995505 3.50977 0.995505 1.80977
3.98795 0.821569 3.83909 0.821569 2.13909
3.98255 0.995187 4.12501 0.995187 2.42501
3.97505 0.896886 4.00992 0.896886 2.30992
3.96873 0.934068 4.08151 0.934068 2.38151
3.96543 1.29959 4.71673 1.29959 3.01673
3.96328 1.55477 4.72918 1.55477 3.02918
3.95999 1.92951 4.38898 1.92951 2.68898
3.95606 1.72311 3.90676 1.72311 2.20676
3.95412 1.88824 4.53367 1.88824 2.83367
3.95269 2.05695 3.82326 2.05695 2.12326
3.94994 1.99398 4.67657 1.99398 2.97657
3.94699 2.11238 4.1973 2.11238 2.4973
3.94606 2.23137 4.56115 2.23137 2.86115
3.9438 2.32476 4.04184 2.32476 2.34184
3.94232 2.44103 3.96833 2.44103 2.26833
3.94022 2.4752 4.07658 2.4752 2.37658
3.93794 2.49095 5.2747 2.49095 3.5747
3.93555 2.65818 3.18447 2.65818 1.48447
3.93139 2.64354 3.47054 2.64354 1.77054
3.92733 2.75828 3.92246 2.75828 2.22246
3.9235 2.81724 3.84738 2.81724 2.14738
3.91706 2.6952 3.91364 2.6952 2.21364
3.90897 2.60277 3.18096 2.60277 1.48096
3.90205 2.64225 3.87357 2.64225 2.17357
3.89718 2.61708 3.35129 2.61708 1.65129
3.89338 2.63872 3.03502 2.63872 1.33502
3.89017 2.62084 3.31081 2.62084 1.61081
3.88851 2.61706 3.91741 2.61706 2.21741
3.88759 2.67446 4.51372 2.67446 2.81372
3.88481 2.69277 3.53659 2.69277 1.83659
3.87988 2.60809 3.93202 2.60809 2.23202
3.87481 2.65954 4.13476 2.65954 2.43476
3.87063 2.80035 4.52137 2.80035 2.82137
3.86365 2.78313 4.08272 2.78313 2.38272
3.85596 2.74909 3.28364 2.74909 1.58364
3.85005 2.94593 4.15231 2.94593 2.45231
3.84565 2.90204 3.17603 2.90204 1.47603
3.84022 3.00486 4.47636 3.00486 2.77636
3.83441 3.03123 3.54915 3.03123 1.84915
3.82911 3.20315 4.6132 3.20315 2.9132
3.82251 3.09939 3.77428 3.09939 2.07428
3.81697 3.1451 3.57226 3.1451 1.87226
3.81094 3.15029 4.38081 3.15029 2.68081
3.80505 3.13773 3.47619 3.13773 1.77619
3.80157 3.2747 3.90927 3.2747 2.20927
3.7943 3.03696 3.42071 3.03696 1.72071
3.7909 3.41562 3.41227 3.41562 1.71227
3.78526 3.24009 3.70676 3.24009 2.00676
3.77883 3.14213 3.79901 3.14213 2.09901
3.77448 3.3158 4.47384 3.3158 2.77384
3.76597 2.95681 3.71281 2.95681 2.01281
3.75676 3.13424 3.66647 3.13424 1.96647
3.74939 3.09114 3.36208 3.09114 1.66208
3.74166 2.98234 4.16389 2.98234 2.46389
3.73371 2.95943 3.36121 2.95943 1.66121
3.72391 2.78333 4.38318 2.78333 2.68318
3.71521 3.01568 3.7397 3.01568 2.0397
3.70629 2.97671 3.18324 2.97671 1.48324
3.69325 2.81873 3.42894 2.81873 1.72894
3.6818 2.72382 2.86159 2.72382 1.16159
3.66998 3.00999 5.4882 3.00999 3.7882
3.65813 2.87377 3.16229 2.87377 1.46229
3.642 2.77046 4.90516 2.77046 3.20516
3.62819 2.96928 3.99838 2.96928 2.29838
3.61998 3.01294 3.72543 3.01294 2.02543
3.60461 2.94879 3.34486 2.94879 1.64486
3.59128 2.8771 3.71618 2.8771 2.01618
3.5839 3.05258 2.5182 3.05258 0.818196
3.57072 2.96736 3.23632 2.96736 1.53632
3.56012 3.31284 4.04956 3.31284 2.34956
3.55103 3.34142 3.71822 3.34142 2.01822
3.53669 3.24183 5.01486 3.24183 3.31486
3.52233 3.0228 4.29026 3.0228 2.59026
3.51368 3.25711 3.58868 3.25711 1.88868
3.50583 3.2032 4.40444 3.2032 2.70444
3.49687 3.14949 4.34837 3.14949 2.64837
3.49065 3.69829 2.85685 3.69829 1.15685
3.4775 3.44001 3.49343 3.44001 1.79343
3.46684 3.91622 3.25255 3.91622 1.55255
3.46126 4.08309 3.48602 4.08309 1.78602
3.45177 3.509 3.87415 3.509 2.17415
3.44156 3.4231 2.69072 3.4231 0.990722
3.43444 3.54622 3.17957 3.54622 1.47957
3.42391 3.39674 3.34385 3.39674 1.64385
3.41337 3.52667 3.77054 3.52667 2.07054
3.39953 3.4859 3.6302 3.4859 1.9302
3.38777 3.43073 3.37695 3.43073 1.67695
3.376 3.32388 3.23974 3.32388 1.53974
3.36359 3.45096 3.72274 3.45096 2.02274
3.3546 3.41263 3.77529 3.41263 2.07529
3.34375 3.20738 3.29604 3.20738 1.59604
3.32696 3.28641 3.16902 3.28641 1.46902
3.31266 3.43486 2.46462 3.43486 0.764618
3.30178 3.29656 3.25581 3.29656 1.55581
3.2897 3.2075 2.99265 3.2075 1.29265
3.2811 3.31377 3.89388 3.31377 2.19388
3.27174 3.10952 4.06246 3.10952 2.36246
3.25974 3.3539 2.53846 3.3539 0.83846
3.24781 3.42803 2.54002 3.42803 0.840024
3.23418 3.24308 3.71882 3.24308 2.01882
3.22631 3.34592 2.46179 3.34592 0.761793
3.21122 3.1817 3.18976 3.1817 1.48976
3.20225 3.35616 3.05983 3.35616 1.35983
3.19718 3.00294 2.24436 3.00294 0.544358
3.18315 3.26243 2.40359 3.26243 0.703589
3.17258 3.41377 3.56719 3.41377 1.86719
3.16179 3.31865 2.75996 3.31865 1.05996
3.14688 3.2602 2.98245 3.2602 1.28245
3.13184 3.0123 3.21576 3.0123 1.51576
3.12165 3.03766 3.35172 3.03766 1.65172
3.11092 3.06365 2.58314 3.06365 0.883139
3.09748 2.89612 3.75913 2.89612 2.05913
3.08392 3.35172 3.56819 3.35172 1.86819
3.07661 3.51222 3.1249 3.51222 1.4249
3.06223 3.03853 2.53852 3.03853 0.838516
3.04928 3.31505 2.93594 3.31505 1.23594
3.04148 3.56208 3.54513 3.56208 1.84513
3.03077 3.14483 1.95991 3.14483 0.259911
3.01827 3.14503 3.39097 3.14503 1.69097
3.00849 3.1835 3.19495 3.1835 1.49495
3.00282 3.44611 3.83289 3.44611 2.13289
2.98678 2.94891 3.56693 2.94891 1.86693
2.97112 3.25133 3.51046 3.25133 1.81046
2.96318 3.50121 3.5911 3.50121 1.8911
2.94926 3.21969 2.29179 3.21969 0.591786
2.93597 3.34466 3.0761 3.34466 1.3761
2.92526 3.09409 2.86611 3.09409 1.16611
2.91013 3.18207 2.11154 3.18207 0.411536
2.89701 3.475 2.91438 3.475 1.21438
2.88512 3.27654 3.40469 3.27654 1.70469
2.87752 3.74918 3.28351 3.74918 1.58351
2.86668 3.28194 2.62657 3.28194 0.926566
2.85352 3.41761 2.8593 3.41761 1.1593
2.8444 3.71478 2.70425 3.71478 1.00425
2.83246 3.5721 1.12626 3.5721 -0.573745
2.82091 3.27892 2.88089 3.27892 1.18089
2.81576 3.36784 3.52333 3.36784 1.82333
2.80944 3.49048 2.3866 3.49048 0.686598
2.79808 3.18068 2.48408 3.18068 0.784084
2.78389 3.09597 2.99518 3.09597 1.29518
2.77532 3.5194 1.72492 3.5194 0.0249161
2.75977 3.08485 2.79024 3.08485 1.09024
2.74573 2.86949 2.61349 2.86949 0.913493
2.73771 3.34112 1.90641 3.34112 0.206406
2.72722 3.09894 2.03062 3.09894 0.330617
2.7136 2.69489 3.50859 2.69489 1.80859
2.69886 3.01134 2.51904 3.01134 0.819037
2.68568 3.21791 2.07287 3.21791 0.372866
2.67089 2.84224 2.8951 2.84224 1.1951
2.66235 3.19477 3.10075 3.19477 1.40075
2.65444 3.18026 2.79422 3.18026 1.09422
2.64084 2.99954 3.12304 2.99954 1.42304
2.63123 3.25277 2.10077 3.25277 0.400769
2.62109 3.16697 2.52106 3.16697 0.821058
2.61197 3.16892 2.87206 3.16892 1.17206
2.60406 3.38779 2.04546 3.38779 0.345464
2.5982 3.47248 3.7467 3.47248 2.0467
2.58933 3.31978 3.25412 3.31978 1.55412
2.57799 3.30841 1.82429 3.30841 0.124289
2.56618 3.24116 1.94282 3.24116 0.242825
2.55761 3.53268 3.14709 3.53268 1.44709
2.55332 3.85377 1.84451 3.85377 0.144507
2.5465 3.2974 1.91062 3.2974 0.21062
2.53972 3.10442 2.0872 3.10442 0.3872
2.53381 3.74997 2.74685 3.74997 1.04685
2.52867 3.90781 3.10087 3.90781 1.40087
2.52131 3.51361 1.82648 3.51361 0.126485
2.5181 3.6721 2.29202 3.6721 0.592022
2.51352 3.41385 2.83439 3.41385 1.13439
2.51049 3.45463 1.72995 3.45463 0.0299459
2.50586 3.34681 2.46221 3.34681 0.762215
2.49907 3.10824 2.9323 3.10824 1.2323
2.49675 3.54053 3.4004 3.54053 1.7004
2.49034 3.13322 2.5389 3.13322 0.838902
